date,Tic,open,high ,low,close,volume 
1/13/2009,Fameli,7.42,7.42,7.42,7.21,1175
1/14/2009,Fameli,7.42,7.42,7.42,7.21,16370
1/17/2009,Fameli,7.42,7.42,7.42,7.21,32229
1/18/2009,Fameli,7.43,7.43,7.43,7.22,55190
1/19/2009,Fameli,7.43,7.43,7.43,7.43,1651
1/20/2009,Fameli,7.65,7.65,7.65,7.65,12812
1/21/2009,Fameli,7.88,7.88,7.88,7.88,13986
1/24/2009,Fameli,8.12,8.12,7.65,7.96,7125876
1/25/2009,Fameli,7.73,7.82,7.72,7.83,1241098
1/26/2009,Fameli,7.6,7.6,7.6,7.81,211723
1/27/2009,Fameli,7.81,8.04,7.81,7.84,400317
1/28/2009,Fameli,8.08,8.08,7.87,7.87,335908
1/31/2009,Fameli,8.02,8.11,8.02,7.89,233499
2/1/2009,Fameli,8.1,8.13,8.1,7.91,128225
2/2/2009,Fameli,8.14,8.14,8.14,7.94,325452
2/4/2009,Fameli,7.62,7.8,7.62,7.73,130963
2/7/2009,Fameli,7.96,7.96,7.95,7.76,377466
2/8/2009,Fameli,7.8,8,7.8,7.77,98224
2/9/2009,Fameli,7.95,7.97,7.87,7.79,247665
2/11/2009,Fameli,7.86,7.99,7.75,7.79,138321
2/14/2009,Fameli,7.75,7.75,7.56,7.78,98309
2/15/2009,Fameli,7.56,7.56,7.55,7.76,172122
2/17/2009,Fameli,7.53,7.53,7.53,7.74,248315
2/18/2009,Fameli,7.51,7.59,7.51,7.73,49967
2/22/2009,Fameli,7,7.25,6.5,6.89,137910
2/23/2009,Fameli,6.88,6.88,6.69,6.83,742461
2/25/2009,Fameli,6.63,6.63,6.63,6.83,21235
2/28/2009,Fameli,6.62,6.62,6.62,6.82,57863
3/1/2009,Fameli,6.62,6.62,6.62,6.82,15873
3/2/2009,Fameli,6.62,6.62,6.62,6.82,13660
3/3/2009,Fameli,6.62,6.62,6.62,6.81,48816
3/7/2009,Fameli,6.61,6.61,6.61,6.61,56843
3/8/2009,Fameli,6.41,6.61,6.41,6.55,709768
3/9/2009,Fameli,6.75,6.75,6.36,6.54,223171
3/10/2009,Fameli,6.74,6.74,6.63,6.56,277155
3/11/2009,Fameli,6.57,6.76,6.56,6.57,121783
3/14/2009,Fameli,6.76,6.76,6.76,6.57,57553
3/16/2009,Fameli,6.77,6.77,6.77,6.57,5000
3/17/2009,Fameli,6.77,6.77,6.77,6.57,14683
3/18/2009,Fameli,6.77,6.77,6.77,6.58,20195
3/30/2009,Fameli,6.77,6.77,6.77,6.77,1000
3/31/2009,Fameli,6.97,6.97,6.97,6.77,10162
4/4/2009,Fameli,6.97,6.97,6.97,6.97,1000
4/5/2009,Fameli,7.18,7.18,7.18,6.97,2335
4/6/2009,Fameli,7.18,7.18,7.18,7.18,27000
4/7/2009,Fameli,7.4,7.4,7.4,7.4,1198
4/8/2009,Fameli,7.62,7.62,7.62,7.62,106721
4/11/2009,Fameli,7.84,7.84,7.84,7.84,100
4/12/2009,Fameli,8.08,8.08,8.08,8.08,100
4/13/2009,Fameli,8.32,8.32,8.32,8.08,16718
4/14/2009,Fameli,8.32,8.32,8.32,8.32,67739
4/15/2009,Fameli,8.57,8.57,8.57,8.57,71500
4/18/2009,Fameli,8.82,8.82,8.82,8.82,6606
